total_quantity,business_quantity,personal_quantity,request_type,total_time
57,55,2,payment,205.88
44,43,1,payment,109.75
48,35,13,existence,85.45
112,88,24,debt,302.46
59,5,54,debt,130.12
134,52,82,debt,409.36
67,37,30,debt,133.43
32,32,0,payment,123.44
133,8,125,debt,197.17
56,41,15,existence,149.03
91,88,3,payment,231.59
80,46,34,payment,221.25
54,34,20,payment,121.53
51,31,20,existence,137.5
24,1,23,existence,46.59
19,14,5,existence,40.31
112,58,54,debt,231.83
134,11,123,debt,324.36
112,6,106,payment,246.38
152,103,49,debt,412.23
78,41,37,payment,208.91
31,2,29,payment,80.2
58,10,48,payment,90.09
116,112,4,debt,270.28
66,55,11,payment,219.28
9,2,7,existence,22.2
12,2,10,debt,38.06
113,66,47,debt,246.57
47,2,45,payment,127.67
88,56,32,debt,282.7
120,115,5,payment,282.95
76,50,26,existence,243.15
117,27,90,payment,205.23
106,78,28,payment,279.58
103,53,50,debt,283.98
47,27,20,existence,141.17
9,4,5,payment,31.96
11,6,5,payment,39.31
51,30,21,existence,105.4
102,2,100,payment,268.88
138,23,115,payment,270.08
84,60,24,payment,254.74
58,37,21,payment,148.77
36,2,34,existence,71.59
81,70,11,payment,237.21
23,19,4,debt,77.45
152,107,45,payment,492.1
38,3,35,debt,104.11
114,102,12,debt,273.23
50,37,13,payment,159.9
89,48,41,payment,244.35
117,31,86,debt,230.47
130,62,68,existence,353.59
74,41,33,existence,145.65
108,79,29,payment,344.55
141,8,133,payment,257.93
76,2,74,debt,187.36
31,15,16,debt,85.9
72,66,6,payment,199.85
149,119,30,debt,324.43
124,103,21,debt,353.32
81,14,67,existence,202.44
137,79,58,debt,283.38
114,95,19,payment,394.53
153,89,64,existence,435.44
123,77,46,existence,270.11
141,1,140,debt,318.61
24,17,7,payment,80.2
31,24,7,debt,80.46
34,15,19,payment,89.07
104,27,77,payment,265.35
36,1,35,payment,74.38
32,17,15,existence,63.76
4,2,2,payment,17.29
112,16,96,existence,201.49
51,50,1,debt,197.83
131,58,73,existence,236.17
6,2,4,debt,38.99
152,28,124,existence,335.4
3,2,1,existence,7.62
49,10,39,existence,128.83
68,25,43,debt,197.33
86,36,50,existence,157.85
71,39,32,debt,223.86
122,102,20,debt,413.04
53,53,0,debt,177.51
99,93,6,debt,346.03
10,1,9,debt,44.81
12,5,7,existence,19.7
44,25,19,payment,81.63
76,38,38,payment,206.61
68,9,59,debt,113.81
133,50,83,debt,333.36
50,42,8,payment,126.34
146,94,52,existence,410.02
44,1,43,payment,95.34
24,8,16,existence,56.57
78,78,0,existence,252.17
113,23,90,debt,186.62
130,9,121,debt,331.85
79,71,8,payment,284.34
67,5,62,payment,101.05
64,40,24,existence,196.2
105,91,14,payment,307.13
14,1,13,debt,46.64
55,10,45,existence,107.17
111,92,19,existence,252.39
86,24,62,payment,205.96
37,14,23,payment,86.61
44,19,25,existence,117.12
6,1,5,payment,31.64
135,82,53,payment,390.73
157,66,91,payment,449.55
144,87,57,debt,280.44
126,37,89,existence,340.38
138,17,121,debt,326.53
150,44,106,payment,326.87
63,21,42,payment,169.68
136,118,18,existence,310.03
84,4,80,existence,189.31
110,95,15,debt,300.12
67,66,1,existence,191.7
53,21,32,existence,162.58
20,4,16,debt,46.54
113,7,106,debt,192.49
118,116,2,payment,359.66
77,38,39,existence,148.76
47,1,46,existence,111.67
95,33,62,debt,277.18
2,2,0,payment,15.39
119,12,107,debt,175.63
56,48,8,payment,153.01
53,9,44,payment,88.03
134,65,69,debt,353.7
53,25,28,payment,114.12
77,30,47,existence,184.63
99,10,89,existence,223.29
157,131,26,payment,357.77
36,13,23,debt,85.93
13,6,7,existence,25.58
141,137,4,existence,431.39
153,4,149,existence,288.73
111,49,62,payment,254.5
8,6,2,payment,31.22
29,1,28,payment,77.78
132,31,101,debt,347.91
104,29,75,payment,157.31
95,19,76,payment,177.32
151,99,52,debt,486.35
129,48,81,existence,301.13
4,3,1,existence,8.55
91,70,21,existence,250.71
69,42,27,existence,168.05
56,42,14,payment,175.25
142,59,83,debt,415.87
81,74,7,payment,244.92
137,18,119,payment,334.84
42,19,23,payment,87.9
3,1,2,payment,23.73
69,14,55,debt,189.02
2,1,1,payment,16.61
118,14,104,debt,174.69
29,28,1,debt,108.62
25,8,17,existence,52.17
143,56,87,debt,286.4
57,56,1,payment,151.91
28,26,2,existence,81.27
30,19,11,existence,83.21
17,11,6,debt,60.19
92,66,26,debt,252.17
26,14,12,payment,78.48
93,58,35,debt,209.47
123,92,31,debt,387.4
131,101,30,debt,334.62
96,32,64,debt,294.2
67,4,63,debt,182.97
146,115,31,debt,439.76
10,10,0,debt,65.27
43,1,42,debt,115.45
13,11,2,debt,69
120,24,96,debt,251.98
84,32,52,debt,175.69
65,48,17,payment,194.91
20,6,14,debt,65.85
152,16,136,debt,385.33
142,132,10,existence,394.75
72,48,24,payment,218.42
125,118,7,payment,311.16
42,32,10,payment,109.99
154,83,71,debt,396.2
27,8,19,existence,40
136,13,123,existence,262.84
99,69,30,existence,283.67
31,8,23,existence,76.23
25,9,16,debt,63.96
10,6,4,debt,36.67
86,86,0,payment,286.27
1,1,0,existence,2.78
125,45,80,existence,343.69
26,17,9,payment,69.13
104,33,71,debt,290.08
128,6,122,debt,182.31
48,34,14,existence,93.61
144,73,71,existence,319.74
113,19,94,existence,181.45
155,67,88,existence,421.94
63,11,52,existence,134
150,138,12,payment,406.42
87,51,36,payment,187.01
33,19,14,payment,70.16
150,95,55,existence,270.68
117,71,46,debt,360.84
27,25,2,debt,116.51
38,38,0,payment,157.49
14,14,0,existence,45.2
75,70,5,existence,247.34
59,11,48,existence,101.5
140,44,96,debt,272.62
114,16,98,existence,151.06
24,6,18,existence,62.18
10,5,5,payment,44.33
81,55,26,existence,225.87
111,104,7,debt,368.12
70,53,17,debt,222.47
65,7,58,debt,145.13
146,93,53,debt,289.62
2,2,0,debt,34.31
40,19,21,existence,83.69
88,39,49,payment,256.76
34,28,6,debt,95.8
53,3,50,existence,85.4
156,118,38,debt,461.23
57,3,54,existence,67.93
128,21,107,payment,325.18
59,49,10,payment,192.86
86,41,45,payment,224.06
125,106,19,debt,406.74
149,67,82,existence,460.27
145,36,109,payment,336.93
155,27,128,debt,369.74
101,38,63,debt,243.46
33,14,19,payment,96.7
134,105,29,debt,396.23
84,4,80,existence,150.59
15,10,5,existence,43.32
106,31,75,debt,243.48
49,7,42,existence,107.69
136,27,109,payment,320.01
76,41,35,existence,158.84
2,1,1,payment,11.33
143,133,10,debt,316.84
144,55,89,existence,275.46
41,30,11,debt,124.52
74,29,45,payment,211.3
154,35,119,existence,310.36
61,55,6,payment,169.2
92,58,34,payment,174.88
47,29,18,existence,100.47
113,105,8,existence,302.72
94,18,76,existence,198.27
144,61,83,debt,298.28
142,139,3,existence,509.3
10,2,8,payment,24.71
32,15,17,debt,101.17
102,32,70,debt,252.86
81,33,48,debt,199.38
6,2,4,debt,26.35
46,18,28,payment,115.85
65,4,61,debt,115.43
101,14,87,debt,224.31
73,22,51,payment,141.63
73,12,61,existence,100.51
11,4,7,debt,37.28
7,7,0,existence,22.56
115,56,59,payment,271.2
137,99,38,debt,290.86
17,2,15,existence,28.92
72,48,24,debt,192.85
82,67,15,existence,244.33
138,13,125,existence,322.95
125,115,10,payment,378.63
123,65,58,debt,360.97
48,20,28,payment,97.31
142,64,78,debt,230.88
75,67,8,existence,204.35
147,105,42,debt,446.35
94,81,13,existence,281.19
61,41,20,debt,148.55
99,81,18,debt,348.29
67,28,39,debt,199.74
67,53,14,payment,178.32
126,58,68,debt,341.03
139,9,130,existence,264.31
48,45,3,debt,137.87
45,32,13,debt,140.22
6,6,0,payment,24.54
124,101,23,payment,397.07
109,54,55,debt,309.86
75,24,51,payment,181.38
56,26,30,existence,149.95
33,15,18,existence,89.63
83,74,9,existence,283.48
1,1,0,existence,2.17
28,19,9,debt,76.85
45,41,4,payment,133.42
47,39,8,payment,140.58
89,20,69,payment,230.24
66,27,39,payment,182.83
20,5,15,payment,49.96
27,20,7,payment,63.64
